 ,Area,Mean,Min,Max
1,12140579,9550884.207,7.566E-5,1.114E14
2,11142321,10405615.334,7.566E-5,1.114E14
3,9003940,12874755.304,7.566E-5,1.114E14
4,7098972,16326473.361,7.566E-5,1.114E14
5,5954870,19459596.500,7.566E-5,1.114E14
6,4520188,25629265.241,7.566E-5,1.114E14
7,3359673,34475638.646,0.003,1.114E14
8,2241530,51644122.708,0.004,1.114E14
9,1515658,76327645.979,0.005,1.114E14
10,959804,120467058.358,0.250,1.114E14
11,535763,215576435.270,1.023,1.114E14
12,280376,410910077.006,6.882,1.114E14
13,131560,872768035.706,9.117,1.114E14
14,57681,1981258410.935,54.114,1.114E14
15,16044,7062626593.914,510.072,1.114E14
16,7680,46884402.840,510.072,6487887872.000
