 ,Area,Mean,Min,Max
1,263169,109.04,0,255
2,131769,114.79,11,255
3,87616,118.688,11,255
4,65536,121.698,11,255
5,52441,124.193,11,255
6,43681,126.32,11,255
7,37636,128.141,15,255
8,32761,129.571,43,255
9,29241,130.729,43,255
10,26244,131.73,43,255
11,24025,132.512,43,255
12,21904,133.342,43,255
13,20164,134.163,43,255
14,18769,134.878,43,255
15,17424,135.63,52,255
16,16384,136.255,52,255
17,15376,136.94,52,255
18,14641,137.42,52,255
19,13924,137.926,52,255
20,13225,138.484,52,255
21,8100,144.188,52,255
22,4096,151.776,72,255
23,2025,159.772,81,255
24,1024,166.982,92,255
25,484,175.579,92,255
26,256,186.98,94,255
